dataset,start_frame,end_frame,fps,label,phi_trans,psi_tan,psi_rad
0066,0,240,29.97,traveling_polarized,0.928041504537102,0.25534145156255367,0.061702324926606725
0066,480,809,29.97,traveling_polarized,0.9134383451037147,0.39491050305854714,-0.027726809999913126
0066,899,1289,29.97,milling,0.3161443745810375,0.7829032890424567,-0.04666895001521937
0066,1289,1409,29.97,expansion_burst,0.5917879824100425,0.5160216897528012,0.37508294841460427
0066,1439,1708,29.97,traveling_polarized,0.9216323432459789,0.3989003268767205,0.05792930966508756
0066,2158,2877,29.97,traveling_polarized,0.9025262141720639,0.3123783863297655,-0.01634080010639547
0066,3027,3147,29.97,shoaling,0.3859672049993981,0.23623841687804836,-0.07326664846506055
0066,3207,3536,29.97,milling,0.3230330426703928,0.767765911848351,0.07419929232178506
0066,4555,5245,29.97,traveling_polarized,0.9300157325889798,0.30821098665168073,-0.039479239770578815
0066,5425,5814,29.97,traveling_polarized,0.9336114352789021,0.25302917216893384,-0.04657534032191887
0066,5934,6414,29.97,traveling_polarized,0.9262562270772674,0.34227584776693437,-0.06060239572180423
0066,6623,6773,29.97,milling,0.43912696861107064,0.5169134637705586,0.19742631296030594
0066,6953,7642,29.97,traveling_polarized,0.9155034050784971,0.35033642297324535,-0.02464408272108618
0066,7882,8182,29.97,traveling_polarized,0.9473505805713311,0.17515301275317702,0.16212455379333035
0066,8392,8691,29.97,traveling_polarized,0.9064523674266559,0.1759014523483803,0.0685620072360995
0066,8871,9740,29.97,traveling_polarized,0.9394263263592134,0.27507953194381307,-0.019882448983380662
0066,9770,9830,29.97,compaction,0.4328006737916772,0.3710873443863449,-0.4466376704049235
0066,9860,9920,29.97,expansion_burst,0.6432131507067526,0.45612084647813894,0.36786366961512645
0066,9920,10490,29.97,traveling_polarized,0.9129309206417506,0.32586288524632495,0.014246451840617276
0066,10939,11029,29.97,traveling_polarized,0.9150957898737349,0.19005765327533722,0.04185718995718624
0066,11209,11778,29.97,traveling_polarized,0.9406896229985113,0.33976280427951067,0.07041037955036922
0066,11958,12527,29.97,traveling_polarized,0.9430200541147907,0.2310072125438355,0.011619048937622525
0066,12917,13067,29.97,shoaling,0.4171945948169704,0.21560310220923806,0.07483369949783306
0066,13067,13127,29.97,compaction,0.2558623741649792,0.41667095297579276,-0.332034855576109
0066,13696,13876,29.97,traveling_polarized,0.9654936396008202,0.3274251074295895,-0.030960462365616302
0066,14086,14146,29.97,expansion_burst,0.44323817778965474,0.4342746568587141,0.49321440800997646
0066,14356,14476,29.97,traveling_polarized,0.8982319578482354,0.27766524551037175,0.03350253049124855
0066,14535,14625,29.97,milling,0.4876127168468714,0.8290474765696461,-0.03736496480650759
0066,15225,15794,29.97,shoaling,0.5266016246987266,0.16724519084576214,0.06671601651777646
0066,16004,16274,29.97,traveling_polarized,0.9169628478870178,0.3144228441358107,0.2726782224473027
0066,17113,17233,29.97,expansion_burst,0.8241767765253002,0.19600223517043927,0.42103518292064096
0066,17233,17323,29.97,traveling_polarized,0.9426288721417985,0.20220996306702732,0.08778828754459583
0066,17473,17862,29.97,traveling_polarized,0.9464177328694291,0.21920342577812085,0.05307535906626621
